Label:,V_Address:,V_DrawFunction:,Angles:,Frames:,Framerate:,Sprites[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree1,0,0,1,1,1,PINE_TREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lights,1,0,1,6,100,LIGHTS_0,LIGHTS_1,LIGHTS_2,LIGHTS_3,LIGHTS_4,LIGHTS_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree2,2,0,1,1,1,DECIDUOUS_TREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grasses,3,0,5,1,1,GRASS_1,GRASS_2,GRASS_3,GRASS_4,GRASS_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossbow,4,0,8,1,1,CROSSBOW_R,CROSSBOW_R,CROSSBOW_R,CROSSBOW_L,CROSSBOW_L,CROSSBOW_L,CROSSBOW_L,CROSSBOW_R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skeleton,5,0,2,1,1,SKELETON_R,SKELETON_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imp,6,0,2,1,1,IMP_R,IMP_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zombie,7,0,2,1,1,ZOMBIE_R,ZOMBIE_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cow,8,0,2,1,1,COW_R,COW_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThornyDevil,9,0,2,1,1,THORNYDEVIL_R,THORNYDEVIL_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FrilledNeck,10,0,2,1,1,FRILLEDNECK_R,FRILLEDNECK_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphere,11,0,1,1,1,DECAL_1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
